AÑO;DISTRITO;Num detenidos e investigados
2017;Ciudad de Madrid;14.169
2017;01. Centro;3.542
2017;02. Arganzuela;570
2017;03. Retiro;293
2017;04. Salamanca;956
2017;05. Chamartín;647
2017;06. Tetuán;514
2017;07. Chamberí;580
2017;08. Fuencarral-El Pardo;289
2017;09. Moncloa-Aravaca;380
2017;10. Latina;576
2017;11. Carabanchel;1.170
2017;12. Usera;894
2017;13. Puente de Vallecas;1.015
2017;14. Moratalaz;187
2017;15. Ciudad Lineal;571
2017;16. Hortaleza;339
2017;17. Villaverde;469
2017;18. Villa de Vallecas;388
2017;19. Vicálvaro;194
2017;20. San Blas-Canillejas;320
2017;21. Barajas;265
2020;Ciudad de Madrid;9.714
2020;01. Centro;1.582
2020;02. Arganzuela;366
2020;03. Retiro;187
2020;04. Salamanca;646
2020;05. Chamartín;566
2020;06. Tetuán;458
2020;07. Chamberí;339
2020;08. Fuencarral-El Pardo;257
2020;09. Moncloa-Aravaca;307
2020;10. Latina;386
2020;11. Carabanchel;694
2020;12. Usera;480
2020;13. Puente de Vallecas;1.030
2020;14. Moratalaz;148
2020;15. Ciudad Lineal;425
2020;16. Hortaleza;284
2020;17. Villaverde;468
2020;18. Villa de Vallecas;447
2020;19. Vicálvaro;97
2020;20. San Blas-Canillejas;368
2020;21. Barajas;109
2018;Ciudad de Madrid;9.509
2018;01. Centro;1.936
2018;02. Arganzuela;296
2018;03. Retiro;178
2018;04. Salamanca;728
2018;05. Chamartín;316
2018;06. Tetuán;520
2018;07. Chamberí;258
2018;08. Fuencarral-El Pardo;221
2018;09. Moncloa-Aravaca;281
2018;10. Latina;369
2018;11. Carabanchel;643
2018;12. Usera;380
2018;13. Puente de Vallecas;1.102
2018;14. Moratalaz;130
2018;15. Ciudad Lineal;499
2018;16. Hortaleza;226
2018;17. Villaverde;414
2018;18. Villa de Vallecas;334
2018;19. Vicálvaro;83
2018;20. San Blas-Canillejas;418
2018;21. Barajas;95
2019;Ciudad de Madrid;8.035
2019;01. Centro;1.469
2019;02. Arganzuela;292
2019;03. Retiro;152
2019;04. Salamanca;595
2019;05. Chamartín;266
2019;06. Tetuán;390
2019;07. Chamberí;203
2019;08. Fuencarral-El Pardo;216
2019;09. Moncloa-Aravaca;189
2019;10. Latina;389
2019;11. Carabanchel;564
2019;12. Usera;371
2019;13. Puente de Vallecas;1.086
2019;14. Moratalaz;87
2019;15. Ciudad Lineal;468
2019;16. Hortaleza;247
2019;17. Villaverde;338
2019;18. Villa de Vallecas;277
2019;19. Vicálvaro;67
2019;20. San Blas-Canillejas;294
2019;21. Barajas;73
