AÑO;DISTRITO;Precio Medio alquiler
2017;Ciudad de Madrid;14,40
2017;01. Centro;17,90
2017;02. Arganzuela;13,90
2017;03. Retiro;14,80
2017;04. Salamanca;17,80
2017;05. Chamartín;15,50
2017;06. Tetuán;14,90
2017;07. Chamberí;16,70
2017;08. Fuencarral-El Pardo;12,10
2017;09. Moncloa-Aravaca;13,30
2017;10. Latina;10,30
2017;11. Carabanchel;10,60
2017;12. Usera;10,20
2017;13. Puente de Vallecas;10,40
2017;14. Moratalaz;10
2017;15. Ciudad Lineal;12,60
2017;16. Hortaleza;12,20
2017;17. Villaverde;9,20
2017;18. Villa de Vallecas;10,20
2017;19. Vicálvaro;9,40
2017;20. San Blas-Canillejas;11,20
2017;21. Barajas;11,30
2018;Ciudad de Madrid;15,50
2018;01. Centro;18,30
2018;02. Arganzuela;15,20
2018;03. Retiro;16
2018;04. Salamanca;18,30
2018;05. Chamartín;16
2018;06. Tetuán;15,40
2018;07. Chamberí;18
2018;08. Fuencarral-El Pardo;12,20
2018;09. Moncloa-Aravaca;14,60
2018;10. Latina;11,40
2018;11. Carabanchel;11,60
2018;12. Usera;11,20
2018;13. Puente de Vallecas;11,40
2018;14. Moratalaz;9,70
2018;15. Ciudad Lineal;13,30
2018;16. Hortaleza;13,10
2018;17. Villaverde;10,30
2018;18. Villa de Vallecas;10,90
2018;19. Vicálvaro;10
2018;20. San Blas-Canillejas;11,60
2018;21. Barajas;11,70
2019;Ciudad de Madrid;16,60
2019;01. Centro;16,60
2019;02. Arganzuela;16
2019;03. Retiro;16,90
2019;04. Salamanca;18,90
2019;05. Chamartín;16,40
2019;06. Tetuán;16,30
2019;07. Chamberí;18,10
2019;08. Fuencarral-El Pardo;12,80
2019;09. Moncloa-Aravaca;15
2019;10. Latina;12,90
2019;11. Carabanchel;12,70
2019;12. Usera;12,50
2019;13. Puente de Vallecas;12,60
2019;14. Moratalaz;11,80
2019;15. Ciudad Lineal;13,90
2019;16. Hortaleza;12,70
2019;17. Villaverde;11,50
2019;18. Villa de Vallecas;11,40
2019;19. Vicálvaro;11,10
2019;20. San Blas-Canillejas;12,20
2019;21. Barajas;11,70
2020;Ciudad de Madrid;15
2020;01. Centro;16,70
2020;02. Arganzuela;14,40
2020;03. Retiro;15
2020;04. Salamanca;17
2020;05. Chamartín;15,50
2020;06. Tetuán;14,90
2020;07. Chamberí;16,50
2020;08. Fuencarral-El Pardo;12,30
2020;09. Moncloa-Aravaca;14,40
2020;10. Latina;12
2020;11. Carabanchel;11,60
2020;12. Usera;11,40
2020;13. Puente de Vallecas;12,10
2020;14. Moratalaz;11,10
2020;15. Ciudad Lineal;13
2020;16. Hortaleza;12,50
2020;17. Villaverde;10,60
2020;18. Villa de Vallecas;11,40
2020;19. Vicálvaro;10,20
2020;20. San Blas-Canillejas;11,80
2020;21. Barajas;11,30
